# time template
1.391601562500000000e-02 -1.330990001108830560e-20
1.416015625000000000e-02 -8.704031086253337481e-21
1.440429687500000000e-02 -4.092888689770854323e-21
1.464843750000000000e-02 5.210683521934300891e-22
1.489257812500000000e-02 5.135378794346673891e-21
1.513671875000000000e-02 9.747580271194084746e-21
1.538085937500000000e-02 1.435521063322519273e-20
1.562500000000000000e-02 1.895580925812212406e-20
1.586914062500000000e-02 2.354691833726294791e-20
1.611328125000000000e-02 2.812608420081021094e-20
1.635742187500000000e-02 3.269085868706751254e-20
1.660156250000000000e-02 3.723880035910124998e-20
1.684570312500000000e-02 4.176747586003699029e-20
1.708984375000000000e-02 4.627446123424127316e-20
1.733398437500000000e-02 5.075734323587077597e-20
1.757812500000000000e-02 5.521372051025273386e-20
1.782226562500000000e-02 5.964120499766328764e-20
1.806640625000000000e-02 6.403742328489923356e-20
1.831054687500000000e-02 6.840001760582266737e-20
1.855468750000000000e-02 7.272664743524990537e-20
1.879882812500000000e-02 7.701499060786919961e-20
1.904296875000000000e-02 8.126274442345020128e-20
1.928710937500000000e-02 8.546762717273975471e-20
1.953125000000000000e-02 8.962737911542301476e-20
1.977539062500000000e-02 9.373976388567874799e-20
2.001953125000000000e-02 9.780256955252158585e-20
2.026367187500000000e-02 1.018136099639874839e-19
2.050781250000000000e-02 1.057707257516580837e-19
2.075195312500000000e-02 1.096717856125932186e-19
2.099609375000000000e-02 1.135146875529563007e-19
2.124023437500000000e-02 1.172973597952565064e-19
2.148437500000000000e-02 1.210177620809774456e-19
2.172851562500000000e-02 1.246738867862724117e-19
2.197265625000000000e-02 1.282637597723234553e-19
2.221679687500000000e-02 1.317854417811518655e-19
2.246093750000000000e-02 1.352370293679983388e-19
2.270507812500000000e-02 1.386166559291902263e-19
2.294921875000000000e-02 1.419224924910416312e-19
2.319335937500000000e-02 1.451527492527622781e-19
2.343750000000000000e-02 1.483056759673254466e-19
2.368164062500000000e-02 1.513795633291958058e-19
2.392578125000000000e-02 1.543727437827019398e-19
2.416992187500000000e-02 1.572835922467277466e-19
2.441406250000000000e-02 1.601105273093627626e-19
2.465820312500000000e-02 1.628520118355950026e-19
2.490234375000000000e-02 1.655065540855157799e-19
2.514648437500000000e-02 1.680727083164242199e-19
2.539062500000000000e-02 1.705490754564555162e-19
2.563476562500000000e-02 1.729343044257845920e-19
2.587890625000000000e-02 1.752270923175835654e-19
2.612304687500000000e-02 1.774261853371895458e-19
2.636718750000000000e-02 1.795303795935955648e-19
2.661132812500000000e-02 1.815385214658143075e-19
2.685546875000000000e-02 1.834495087012609005e-19
2.709960937500000000e-02 1.852622907451770901e-19
2.734375000000000000e-02 1.869758691948759990e-19
2.758789062500000000e-02 1.885892986045313634e-19
2.783203125000000000e-02 1.901016871186356802e-19
2.807617187500000000e-02 1.915121966053540762e-19
2.832031250000000000e-02 1.928200433925298958e-19
2.856445312500000000e-02 1.940244987397582243e-19
2.880859375000000000e-02 1.951248890896927350e-19
2.905273437500000000e-02 1.961205964989664717e-19
2.929687500000000000e-02 1.970110591742424297e-19
2.954101562500000000e-02 1.977957716162509437e-19
2.978515625000000000e-02 1.984742849622352224e-19
3.002929687500000000e-02 1.990462071776836212e-19
3.027343750000000000e-02 1.995112036278905918e-19
3.051757812500000000e-02 1.998689966844996911e-19
3.076171875000000000e-02 2.001193666333216678e-19
3.100585937500000000e-02 2.002621512815988281e-19
3.125000000000000000e-02 2.002972460895089290e-19
3.149414062500000000e-02 2.002246047358934489e-19
3.173828125000000000e-02 2.000442385976706109e-19
3.198242187500000000e-02 1.997562169084905067e-19
3.222656250000000000e-02 1.993606672886889535e-19
3.247070312500000000e-02 1.988577748796338164e-19
3.271484375000000000e-02 1.982477828547775241e-19
3.295898437500000000e-02 1.975309920289524243e-19
3.320312500000000000e-02 1.967077608577961587e-19
3.344726562500000000e-02 1.957785052926388115e-19
3.369140625000000000e-02 1.947436985564414958e-19
3.393554687500000000e-02 1.936038707330406841e-19
3.417968750000000000e-02 1.923596088552904618e-19
